pathID,min_timestamp,min_lat,min_long,max_timestamp,max_lat,max_long,FullName,CarID
0,01/06/2014 06:28:01,36.0762253,24.87468932,01/06/2014 06:30:33,36.06754912,24.8733002,Vasco-Pais Willem,35.0
1,01/06/2014 07:05:01,36.06752333,24.8733625,01/06/2014 07:13:31,36.04802146,24.87956951,Vasco-Pais Willem,35.0
2,01/06/2014 12:22:01,36.04811395,24.8795751,01/06/2014 12:25:42,36.05583585,24.90254021,Vasco-Pais Willem,35.0
3,01/06/2014 13:49:07,36.05535497,24.90216672,01/06/2014 13:52:42,36.04802686,24.879574800000004,Vasco-Pais Willem,35.0
4,01/06/2014 18:16:01,36.04811420000001,24.87957119,01/06/2014 18:23:24,36.07623001,24.87466735,Vasco-Pais Willem,35.0
5,01/07/2014 06:37:01,36.07624511,24.87469672,01/07/2014 06:39:33,36.06751381,24.8732988,Vasco-Pais Willem,35.0
6,01/07/2014 06:58:01,36.06750279,24.87334481,01/07/2014 07:04:56,36.04802238,24.87956548,Vasco-Pais Willem,35.0
7,01/07/2014 12:35:01,36.04811706,24.87957116,01/07/2014 12:41:16,36.05971244,24.85802119,Vasco-Pais Willem,35.0
8,01/07/2014 13:38:06,36.0592396,24.85803744,01/07/2014 13:44:16,36.04802387,24.87957293,Vasco-Pais Willem,35.0
9,01/07/2014 18:15:01,36.04811679,24.87956712,01/07/2014 18:22:24,36.07624339,24.87466606,Vasco-Pais Willem,35.0
10,01/07/2014 20:20:01,36.07622215,24.874607,01/07/2014 20:23:19,36.07665884,24.8576419,Vasco-Pais Willem,35.0
11,01/07/2014 21:23:01,36.07669784,24.85772179,01/07/2014 21:26:19,36.07622588,24.87469229,Vasco-Pais Willem,35.0
12,01/08/2014 06:23:01,36.07624895,24.87467705,01/08/2014 06:25:33,36.0675341,24.873334,Vasco-Pais Willem,35.0
13,01/08/2014 06:54:01,36.06750023,24.87332313,01/08/2014 06:58:52,36.0480265,24.87957139,Vasco-Pais Willem,35.0
14,01/08/2014 12:18:01,36.0480231,24.87956527,01/08/2014 12:26:17,36.06344801,24.85102141,Vasco-Pais Willem,35.0
15,01/08/2014 13:24:03,36.06318795,24.85099104,01/08/2014 13:32:17,36.04802318,24.87956601,Vasco-Pais Willem,35.0
16,01/08/2014 17:50:01,36.04811263,24.87956939,01/08/2014 17:57:21,36.0762167,24.87453535,Vasco-Pais Willem,35.0
17,01/08/2014 19:45:01,36.07626065,24.87469947,01/08/2014 19:48:19,36.07663011,24.85764084,Vasco-Pais Willem,35.0
18,01/08/2014 21:43:01,36.0766763,24.85767966,01/08/2014 21:46:18,36.07625635,24.87464781,Vasco-Pais Willem,35.0
19,01/09/2014 06:36:01,36.07623062,24.87471053,01/09/2014 06:38:33,36.06753688,24.87331555,Vasco-Pais Willem,35.0
20,01/09/2014 06:59:01,36.0675313,24.87333937,01/09/2014 07:06:41,36.04802202,24.87956567,Vasco-Pais Willem,35.0
21,01/09/2014 12:42:01,36.0481097,24.87956851,01/09/2014 12:50:16,36.06340184,24.8509896,Vasco-Pais Willem,35.0
22,01/09/2014 13:36:01,36.06343446,24.85097339,01/09/2014 13:44:17,36.04802342,24.87957674,Vasco-Pais Willem,35.0
23,01/09/2014 17:52:01,36.04810954,24.87957411,01/09/2014 17:59:24,36.07625557,24.87467016,Vasco-Pais Willem,35.0
24,01/09/2014 19:31:01,36.0762571,24.87460626,01/09/2014 19:35:35,36.07662277,24.85758408,Vasco-Pais Willem,35.0
25,01/09/2014 20:42:01,36.07669657,24.85771369,01/09/2014 20:45:18,36.07622813,24.87463819,Vasco-Pais Willem,35.0
26,01/10/2014 06:21:01,36.07622365,24.8746854,01/10/2014 06:23:33,36.06752049,24.87333388,Vasco-Pais Willem,35.0
27,01/10/2014 07:02:01,36.06751634,24.87332801,01/10/2014 07:10:31,36.04803009,24.87957617,Vasco-Pais Willem,35.0
28,01/10/2014 12:14:02,36.04820487,24.8795689,01/10/2014 12:23:27,36.07669136,24.8575872,Vasco-Pais Willem,35.0
29,01/10/2014 13:43:01,36.07668432,24.85772443,01/10/2014 13:52:27,36.04803192,24.87957085,Vasco-Pais Willem,35.0
30,01/10/2014 18:16:01,36.04811297,24.87957462,01/10/2014 18:23:20,36.07622733,24.87447116,Vasco-Pais Willem,35.0
31,01/10/2014 20:05:01,36.07624031,24.87469355,01/10/2014 20:08:19,36.07668348,24.85757289,Vasco-Pais Willem,35.0
32,01/10/2014 22:24:01,36.0766483,24.85770348,01/10/2014 22:27:19,36.07624644,24.8747067,Vasco-Pais Willem,35.0
33,01/11/2014 13:52:01,36.07622627,24.87469046,01/11/2014 14:01:07,36.05293834,24.84941309,Vasco-Pais Willem,35.0
34,01/11/2014 17:24:03,36.05292921,24.84964036,01/11/2014 17:33:05,36.07623948,24.87463719,Vasco-Pais Willem,35.0
35,01/12/2014 12:45:01,36.07626368,24.87467835,01/12/2014 12:49:17,36.08954006,24.86068035,Vasco-Pais Willem,35.0
36,01/12/2014 16:22:01,36.0895563,24.86064648,01/12/2014 16:26:16,36.07627451,24.87468902,Vasco-Pais Willem,35.0
37,01/13/2014 06:46:01,36.07626366,24.87466486,01/13/2014 06:49:01,36.06754614,24.87335795,Vasco-Pais Willem,35.0
38,01/13/2014 06:59:01,36.06752838,24.87339868,01/13/2014 07:06:41,36.04802418,24.87956992,Vasco-Pais Willem,35.0
39,01/13/2014 12:18:01,36.04811417,24.87956971,01/13/2014 12:21:42,36.05584072,24.90254185,Vasco-Pais Willem,35.0
40,01/13/2014 13:41:01,36.05574707,24.90241021,01/13/2014 13:44:42,36.04802392,24.87956921,Vasco-Pais Willem,35.0
41,01/13/2014 17:54:01,36.04811886,24.87957228,01/13/2014 18:01:24,36.07623465,24.87469015,Vasco-Pais Willem,35.0
42,01/13/2014 19:39:01,36.07622887,24.87461657,01/13/2014 19:42:18,36.07663795,24.85764075,Vasco-Pais Willem,35.0
